"id","startTime","endTime","text","title"
"1",180430,182724,"Amazing. This is amazing!","You've Got Mail"
"2",182975,186186,"Listen to this:The entire work force of Virginia...","You've Got Mail"
"3",186436,188897,"...had solitaire removedfrom their computers...","You've Got Mail"
"4",189481,191483,"...because they hadn't doneany work in six weeks.","You've Got Mail"
"5",191733,192568,"That's so sad.","You've Got Mail"
"6",192818,194486,"Do you know what this is?","You've Got Mail"
"7",194736,197698,"The end of Western civilizationas we know it.","You've Got Mail"
"8",198699,199616,"Aren't you late?","You've Got Mail"
"9",199950,203704,"Name me one thing thatwe've gained from technology.","You've Got Mail"
"10",203954,204955,"Electricity.","You've Got Mail"
"11",205372,208917,"That's one. You think this machine'syour friend, but it's not.","You've Got Mail"
"12",209168,211253,"- I'm out of here.- See you tonight!","You've Got Mail"
"13",211503,212838,"Sushi!","You've Got Mail"
"14",213797,215007,"Bye!","You've Got Mail"
"15",264389,265265,"Welcome.","You've Got Mail"
"16",267518,269478,"You've got mail.","You've Got Mail"
"17",278570,281281,"""Brinkley is my dog.We both love New York streets.""","You've Got Mail"
"18",281698,284368,"Although he likes to eat pizzaoff the sidewalk...","You've Got Mail"
"19",284618,285577,"...and I prefer to buy it.","You've Got Mail"
"20",286745,289873,"Brinkley is a great catcher who wasoffered a tryout on the Mets.","You've Got Mail"
"21",290123,293252,"But he chose to stay with meso he could spend 18 hours a day...","You've Got Mail"
"22",293502,296839,"...sleeping on a large pillowthe size of an inner tube.","You've Got Mail"
"23",297214,299007,"Don't you love New York in the fall?","You've Got Mail"
"24",299258,301760,"Makes me want to buy school supplies.","You've Got Mail"
"25",302177,303095,"I'm almost ready.","You've Got Mail"
"26",303345,306557,"I would send you a bouquetof newly sharpened pencils...","You've Got Mail"
"27",306807,309184,"...if I knew your name and address.","You've Got Mail"
"28",309434,313021,"On the other hand,this not knowing has its charms.","You've Got Mail"
"29",313397,314731,"Did you push it?","You've Got Mail"
"30",315065,316567,"Yes, I pushed it.","You've Got Mail"
"31",317025,318527,"I'm so late.","You've Got Mail"
"32",320195,322781,"Random House fired Dick Atkins.Good riddance!","You've Got Mail"
"33",323031,325951,"Murray Chilton died. That's oneless person I'm not speaking to.","You've Got Mail"
"34",326201,327911,"Hurry! Hurry! Hurry!","You've Got Mail"
"35",331498,334459,"Vince got a great review.He'll be insufferable.","You've Got Mail"
"36",335002,336211,"Tonight, PEN dinner.","You've Got Mail"
"37",337504,338797,"Am I going?","You've Got Mail"
"38",339047,339882,"You promised!","You've Got Mail"
"39",341758,342759,"It's black-tie.","You've Got Mail"
"40",343719,345512,"Can't I just give money instead?","You've Got Mail"
"41",345762,347973,"What is it this week?Free Albanian writers?","You've Got Mail"
"42",348807,349933,"I'm in favor of that.","You've Got Mail"
"43",353604,354980,"Okay, I'll go.","You've Got Mail"
"44",355272,356231,"You're late.","You've Got Mail"
"45",356481,357774,"I know, I know.","You've Got Mail"
"46",391808,394853,"Who's a happy dog?","You've Got Mail"
"47",401193,402152,"Welcome.","You've Got Mail"
"48",403987,405614,"You've got mail.","You've Got Mail"
"49",405864,408283,"All right. Okay.Get down, get down.","You've Got Mail"
"50",411828,414540,"Dear friend: I like to startmy notes to you...","You've Got Mail"
"51",414790,417000,"...as if we're alreadyin the middle of a conversation.","You've Got Mail"
"52",417376,419878,"I pretend that we're the oldestand dearest friends...","You've Got Mail"
"53",420128,421672,"...as opposed to whatwe actually are:","You've Got Mail"
"54",422256,424508,"People who don 't knoweach other's names...","You've Got Mail"
"55",424758,427803,"...and met in a chat room wherewe both claimed we'd never been before.","You've Got Mail"
"56",428720,432057,"""What will NY152 say today?"" I wonder.","You've Got Mail"
"57",433392,435227,"I turn on my computer.","You've Got Mail"
"58",435477,438146,"I wait impatiently as it connects.","You've Got Mail"
"59",438397,440148,"I go online...","You've Got Mail"
"60",440399,444987,"...and my breath catches in my chestuntil I hear three little words:","You've Got Mail"
"61",445487,446655,"""You've got mail.""","You've Got Mail"
"62",447990,451827,"I hear nothing, not even a soundon the streets of New York.","You've Got Mail"
"63",452077,454162,"Just the beat of my own heart.","You've Got Mail"
"64",454413,456123,"I have mail...","You've Got Mail"
"65",456331,457624,"...from you.","You've Got Mail"
"66",518810,521605,"The electrical contractorhit a deer last night.","You've Got Mail"
"67",521813,523732,"So he won't be here till tomorrow.","You've Got Mail"
"68",523941,525859,"And upstairs, the shelves are late...","You've Got Mail"
"69",526068,527903,"...because the pinewe ordered has beetles.","You've Got Mail"
"70",528153,529029,"Very good.","You've Got Mail"
"71",529238,532324,"And we got a $50,000 ticketfor workers peeing off the roof.","You've Got Mail"
"72",533951,536370,"That is great.Is the electrician here?","You've Got Mail"
"73",536620,540624,"I just told you he hit a deer.I knew you weren't listening to me.","You've Got Mail"
"74",541500,543293,"You're right. I wasn't.","You've Got Mail"
"75",543544,545128,"""I hear nothing.","You've Got Mail"
"76",545504,548966,"Not a sound on the city streets,just the beat of my own heart.""","You've Got Mail"
"77",549174,552010,"I think that's how it goes.Something like that.","You've Got Mail"
