"id","startTime","endTime","text","title"
"1",100171,104335,"My dear lady, each day,for the last couple of months...","You Only Live Once"
"2",104793,109000,"this policeman is a walkingright past my fruit stand.","You Only Live Once"
"3",109541,111540,"Then, he's a turn around...","You Only Live Once"
"4",111665,115372,"he's a take the apple and...","You Only Live Once"
"5",117288,120493,"And, when I tell him to leavemy apples alone...","You Only Live Once"
"6",120661,123076,"he's a telling me""chase himself"".","You Only Live Once"
"7",123285,127448,"So, I think to myselfI will have him put in the jail...","You Only Live Once"
"8",127657,129364,"for stealing the apple.","You Only Live Once"
"9",129573,130989,"But...","You Only Live Once"
"10",131780,136609,"this idea is no good, because allthe policemen have a union.","You Only Live Once"
"11",137527,139859,"One cop is not goingto arrest another one.","You Only Live Once"
"12",139942,141025,"Excuse me.","You Only Live Once"
"13",141525,144148,"Public Defender's office.Yes. Judge Calvin.","You Only Live Once"
"14",146439,146981,"Miss Graham?","You Only Live Once"
"15",147106,148354,"I'll tell him.","You Only Live Once"
"16",149021,152019,"Thank you so much for the flowers,they're lovely.","You Only Live Once"
"17",152769,154184,"Just a minute.","You Only Live Once"
"18",154725,155725,"Yes, I know.","You Only Live Once"
"19",155891,156892,"Thanks.","You Only Live Once"
"20",157101,158724,"Goodbye and thank you again.","You Only Live Once"
"21",158974,163597,"Miss, I have come here to have yourboss to sue this cop...","You Only Live Once"
"22",163763,165762,"for stealing my apples.","You Only Live Once"
"23",166636,167303,"Yes, Mr. Whitney?","You Only Live Once"
"24",167429,169301,"Can you spare a moment, Joan?","You Only Live Once"
"25",170176,172135,"I beg your pardon,I'll be right back.","You Only Live Once"
"26",172592,174924,"When you've finished,send it to the DA's office.","You Only Live Once"
"27",177424,179131,"I don't believe it.","You Only Live Once"
"28",180255,183379,"The Public Defender andthe District Attorney holding hands.","You Only Live Once"
"29",183837,185252,"It isn't possible.","You Only Live Once"
"30",185793,188000,"We were just discussingthe Foley girl.","You Only Live Once"
"31",188542,190707,"Why don't you let her off?I believe her story.","You Only Live Once"
"32",190833,193914,"So Steve's been telling me.I've decided not to prosecute.","You Only Live Once"
"33",194123,197496,"You won't regret it. She wasjust a victim of circumstances.","You Only Live Once"
"34",197704,200953,"You're a better attorney than eitherof us. Steve, I'll make a trade.","You Only Live Once"
"35",201119,205242,"My secretary and dinner at Pierre'sfor Joan. Is it a deal?","You Only Live Once"
"36",205533,209823,"No, I'll stick with Stephen.You put them in and he gets them out.","You Only Live Once"
"37",210031,211114,"Much more interesting.","You Only Live Once"
"38",211279,214237,"More interesting, maybe,but not practical.","You Only Live Once"
"39",223108,225690,"Is she still in lovewith this fellow Taylor?","You Only Live Once"
"40",230396,232104,"Strange, isn't it?","You Only Live Once"
"41",233686,235558,"What does she see in him?","You Only Live Once"
"42",237808,239473,"How should I know?","You Only Live Once"
"43",241139,244554,"Sorry.Well, so long.","You Only Live Once"
"44",245513,247762,"And he is a cheap crook.","You Only Live Once"
"45",248011,250134,"My offer stands.","You Only Live Once"
"46",250676,251800,"Will you put that in writing?","You Only Live Once"
"47",252008,252717,"You know something?","You Only Live Once"
"48",252801,256881,"Your claim doesn't belong herebut in the court of small claims.","You Only Live Once"
"49",257005,258506,"Small claims?","You Only Live Once"
"50",258713,263671,"My dear lady, do you think that threeapples each day for one month is...?","You Only Live Once"
"51",263836,266001,"Wait a minute,I'll show you something.","You Only Live Once"
"52",266168,269000,"Is 1095 apples a year.","You Only Live Once"
"53",269084,273123,"For 5 years, is 5975 apples.","You Only Live Once"
"54",273332,275663,"And 3 apples each dayfor 10 years...","You Only Live Once"
"55",275829,279745,"is 10,950 apples,my dear lady.","You Only Live Once"
"56",279953,281494,"Pardon me, old man.","You Only Live Once"
"57",281618,283952,"I'll leave straight from courtand meet you up there.","You Only Live Once"
"58",284159,285283,"Stephen.","You Only Live Once"
"59",288531,291321,"I can't begin to tell youhow marvellous you've been.","You Only Live Once"
"60",291489,292614,"Don't.","You Only Live Once"
"61",293904,296194,"I'm going to miss youthese two weeks.","You Only Live Once"
"62",297318,301108,"The new girl's rather pretty. I hopeI have my job when I get back.","You Only Live Once"
"63",301483,303066,"If that's your only worry...","You Only Live Once"
"64",303274,305606,"Wait a minute,are you the Public Offender?","You Only Live Once"
"65",305689,307438,"People have called me that.","You Only Live Once"
"66",310103,313310,"You better be getting started.It's a long drive.","You Only Live Once"
"67",317225,321515,"See? Everyone is running around likea head with his chicken cut off.","You Only Live Once"
"68",321722,324055,"I am a citizenand I pay my taxes.","You Only Live Once"
"69",324222,326845,"If I don't get satisfactionfrom somebody in this building...","You Only Live Once"
"70",326929,330426,"is going to be one policemanless in this united nation.","You Only Live Once"
"71",330552,331301,"Nobody's going to...","You Only Live Once"
"72",331467,332592,"Good morning.","You Only Live Once"
"73",332760,334091,"Thanks, Pat.","You Only Live Once"
"74",360244,362910,"I thought I was the only crazy onein the family.","You Only Live Once"
"75",363285,366200,"But you,you're absolutely wacky.","You Only Live Once"
"76",366865,369282,"I love being wacky.","You Only Live Once"
"77",371696,373405,"Oh, go ahead.","You Only Live Once"
"78",373696,377985,"Ruin your life, throw it awayon a worthless gorilla.","You Only Live Once"
"79",380151,384939,"End up at my age with no future.What do you think people will say?","You Only Live Once"
"80",385647,388980,"That I'm crazy, that I'll be sorryand other things that don't matter.","You Only Live Once"
"81",390270,391977,"You'll find outthey do matter.","You Only Live Once"
"82",395101,398891,"Come on, Bonnie, be a good sport,wish us happiness.","You Only Live Once"
"83",399183,402263,"I do, darling, but you haven'ta Chinaman's chance.","You Only Live Once"
"84",403346,405180,"It's almost 12,I have to hurry.","You Only Live Once"
"85",405304,406055,"What about lunch?","You Only Live Once"
"86",406262,408635,"Haven't time. It'd be awfulto keep Eddie waiting.","You Only Live Once"
"87",408845,411217,"Awful, you're right,it's awful.","You Only Live Once"
"88",411384,415049,"You won't keep him waiting 10 minutesand he kept you waiting 3 years.","You Only Live Once"
"89",415799,420088,"You're leaving with a better chancethan most prisoners I release.","You Only Live Once"
"90",420255,423128,"You have intelligence beyondthat of the average criminal.","You Only Live Once"
"91",423254,424295,"Thanks, warden.","You Only Live Once"
"92",424503,428376,"Directed on the right path, thatintelligence can re-establish you.","You Only Live Once"
"93",429250,432332,"In the wrong, you'll beright back here again.","You Only Live Once"
"94",434457,435747,"I'm going to fool you this time.","You Only Live Once"
"95",436246,437412,"I hope so.","You Only Live Once"
"96",438163,441327,"Conditions have changes sinceI last made this speech to you.","You Only Live Once"
"97",442367,444743,"You've been my guest three times.","You Only Live Once"
"98",444992,447449,"The first, for stealing an autofor a joyride.","You Only Live Once"
"99",447615,449614,"The next, for grand larceny.","You Only Live Once"
"100",449781,451946,"This visit, which terminatestoday...","You Only Live Once"
"101",452071,455611,"due to the efforts of Mr. Whitney,was for driving the getaway car...","You Only Live Once"
"102",455736,458860,"for the toughest mob of bank banditsin this country.","You Only Live Once"
"103",459110,464107,"You're a three-time loser. A fourthconviction, according to the law...","You Only Live Once"
"104",464398,466480,"means a life sentence.","You Only Live Once"
"105",466856,469146,"Don't worry, I'm checking outof this hotel for keeps.","You Only Live Once"
"106",469979,472603,"I've got a job for him,he'll make good.","You Only Live Once"
"107",472768,474768,"I will,if they let me.","You Only Live Once"
"108",474935,476559,"It's up to you.","You Only Live Once"
"109",477600,480765,"Goodbye and good luck, Taylor.","You Only Live Once"
"110",482306,483514,"Goodbye, warden.","You Only Live Once"
"111",510666,512039,"Hello, general.","You Only Live Once"
"112",515705,516746,"Bye, Bugsy.","You Only Live Once"
"113",516997,519745,"The old cell won't seem like homewithout you.","You Only Live Once"
"114",519870,521910,"Here's your socks,I washed them for you.","You Only Live Once"
"115",522118,523702,"Thanks. keep them.","You Only Live Once"
"116",523826,526824,"Thanks. Don't forget what I told youabout dames.","You Only Live Once"
"117",526949,529948,"Lay off them,tempt you like a fruit cake.","You Only Live Once"
"118",530073,533988,"Remember to send me a pictureof that movie star.","You Only Live Once"
"119",534154,535486,"You know the one.","You Only Live Once"
"120",535611,539401,"With the big blue eyes. Boy,is that dame my mashed potatoes!","You Only Live Once"
"121",539527,540276,"So long.","You Only Live Once"
"122",540484,541608,"So long.","You Only Live Once"
"123",543275,543983,"I'll be seeing you.","You Only Live Once"
"124",544148,545148,"Not if I can help it.","You Only Live Once"
"125",545273,546730,"What's he in for?","You Only Live Once"
"126",546856,548146,"Life.","You Only Live Once"
"127",548855,551686,"Carved up an acrobat he foundhanging around his wife.","You Only Live Once"
"128",552726,555726,"He's harmless. He's been here so longhe's like one of the warden's family.","You Only Live Once"
"129",556060,558517,"I'll look you upwhen I get out.","You Only Live Once"
"130",559058,561140,"Don't do me any favours, Monk.","You Only Live Once"
"131",561889,565346,"Lay off the high hat, Taylor.You're still one of the boys.","You Only Live Once"
"132",567053,568303,"Out.","You Only Live Once"
"133",576465,578756,"Out. Scram.","You Only Live Once"
"134",580214,581296,"Play ball.","You Only Live Once"
"135",585836,587127,"Strike one.","You Only Live Once"
"136",591873,593873,"Four. Take your base.","You Only Live Once"
"137",597079,597579,"Mike.","You Only Live Once"
"138",597745,598955,"Yes, father?","You Only Live Once"
"139",599496,599869,"Call them, Mike.","You Only Live Once"
"140",599995,601369,"Yes, father.","You Only Live Once"
"141",601868,602827,"And call them honest.","You Only Live Once"
"142",602992,604575,"I'm always honest.","You Only Live Once"
"143",606783,607990,"Eddie.","You Only Live Once"
"144",609698,612571,"You weren't leaving without sayinggoodbye, were you? Hi, Mr. Whitney.","You Only Live Once"
"145",612695,613988,"Hello.","You Only Live Once"
"146",615820,619902,"Father Dolan, we need another ball!It went over the wall!","You Only Live Once"
"147",628063,631562,"You don't seem happy for a manthe gates are about to open for.","You Only Live Once"
"148",631686,634185,"What do you want me to do?Cheer?","You Only Live Once"
"149",634519,636559,"There's many a man in herethat would.","You Only Live Once"
"150",637184,641598,"I cheered the first time I got out.They rammed it back down my throat.","You Only Live Once"
"151",643389,645554,"They're not all like youon the outside.","You Only Live Once"
"152",646097,648804,"If they were, these placeswould be haunted houses.","You Only Live Once"
"153",649220,653051,"You're a grand fellow, one ofthese days you'll find that out.","You Only Live Once"
"154",653217,655466,"Thanks, father,that's something.","You Only Live Once"
"155",659589,660797,"Joan!","You Only Live Once"
"156",661837,663087,"Eddie!","You Only Live Once"
"157",667292,670583,"Joan, darling.You're here, you're here.","You Only Live Once"
"158",676455,677995,"Darling, sweet.","You Only Live Once"
"159",683952,685201,"Sweetheart.","You Only Live Once"
"160",686700,688032,"Shake it up, Taylor.","You Only Live Once"
"161",688366,690074,"You want to get out, don't you?","You Only Live Once"
"162",693404,696611,"Darling.Eddie, let me get my breath.","You Only Live Once"
"163",696778,698486,"I can't keep my hands off you.","You Only Live Once"
"164",698693,700068,"You thoughtI wouldn't be here.","You Only Live Once"
"165",700234,702317,"I was afraid evento ask Whitney.","You Only Live Once"
"166",702483,703900,"My letters,didn't you believe them?","You Only Live Once"
"167",704107,707022,"I do now.Are you cute!","You Only Live Once"
"168",707480,709188,"Come on, let's get awayfrom here.","You Only Live Once"
"169",711479,714645,"Thanks again, Stephen.And you too, father.","You Only Live Once"
"170",714976,716310,"You both know how I feel.","You Only Live Once"
"171",716434,718350,"That goes for me too.","You Only Live Once"
"172",718766,721473,"Most lawyers are just agents,but you're not.","You Only Live Once"
"173",721641,722764,"Thanks for lining up the job, too.","You Only Live Once"
"174",722931,724389,"That's alright.","You Only Live Once"
"175",724597,725430,"Goodbye.","You Only Live Once"
"176",725554,727429,"Goodbye, and good luck.","You Only Live Once"
"177",727553,728802,"Thanks.","You Only Live Once"
"178",733674,737174,"It was a great thing you did,getting him out for her.","You Only Live Once"
"179",737340,738756,"You won't regret it.","You Only Live Once"
"180",739173,741837,"There's a lot more good in Taylorthan most people think.","You Only Live Once"
"181",741963,746294,"I hope you're right,but I think she's made a mistake.","You Only Live Once"
"182",747126,751208,"It's only natural you'd think that,feeling the way you do about her.","You Only Live Once"
"183",752956,755997,"Father, what is itshe feels for him?","You Only Live Once"
"184",756580,759163,"Is it love? Pity?","You Only Live Once"
"185",760621,762869,"I've a faint suspicionit's more than pity.","You Only Live Once"
"186",790147,792145,"What a nestfor a honeymoon.","You Only Live Once"
"187",794436,796392,"How did you find it?","You Only Live Once"
"188",797309,799516,"I spent 3 yearslooking for it.","You Only Live Once"
"189",803346,804805,"3 years.","You Only Live Once"
"190",805305,806596,"You know, Esther?","You Only Live Once"
"191",807345,811510,"I've seen that fella's face somewherebefore. And I don't like it.","You Only Live Once"
"192",812135,816341,"If you attended your chores insteadof reading detective periodicals...","You Only Live Once"
"193",816549,818548,"you wouldn't be so suspiciousof everybody.","You Only Live Once"
"194",818672,821796,"I'm right to be suspicious.When he asked me for a room...","You Only Live Once"
"195",822045,824962,"I said ""What's your name?"".I looked him right in the eye.","You Only Live Once"
"196",825170,827418,"His woman gave maa funny look.","You Only Live Once"
"197",830293,834665,"I'll be hog tied if I ain't seenhis face in one of them magazines.","You Only Live Once"
"198",834873,838037,"Well, find it, or I'll burn thattrash first thing in the morning.","You Only Live Once"
"199",838912,840079,"Burn them?","You Only Live Once"
"200",842493,843826,"Burn them?","You Only Live Once"
"201",852113,853946,"I'll find it...","You Only Live Once"
"202",855696,858194,"if I have to sit upall night.","You Only Live Once"
"203",861026,864608,"Listen. They soundjust like crooners, don't they?","You Only Live Once"
"204",865274,866773,"Crooners.","You Only Live Once"
"205",873644,876393,"When I was a kid we used tocatch them in the sewer drains.","You Only Live Once"
"206",879974,883347,"Some of the kids would pull offtheir legs and fry them in bonfires.","You Only Live Once"
"207",883556,885180,"Used to make me sick.","You Only Live Once"
"208",887220,890344,"I got my first rapprotecting a frog's life.","You Only Live Once"
"209",890511,895550,"I beat up a kid for doing that,his mother sent me to reform school.","You Only Live Once"
"210",900380,901879,"There's another one.","You Only Live Once"
"211",906544,907710,"Come on.","You Only Live Once"
"212",930323,934946,"You know something about frogs?If one dies, the other dies.","You Only Live Once"
"213",936362,937528,"That's funny. Why?","You Only Live Once"
"214",937694,941110,"I don't know, except theycan't live without each other.","You Only Live Once"
"215",941693,942900,"Like Romeo and Juliet?","You Only Live Once"
"216",943066,944357,"No kidding, that's how they are.","You Only Live Once"
"217",945357,946648,"How do you know so muchabout frogs?","You Only Live Once"
"218",946815,948814,"I thought everybody knew that.","You Only Live Once"
"219",955851,959766,"I guess they see something in eachother that no one else can see.","You Only Live Once"
"220",959934,961099,"Maybe.","You Only Live Once"
"221",963181,966471,"Eddie, what made youfall in love with me?","You Only Live Once"
"222",968178,969636,"Me with you?","You Only Live Once"
"223",972134,974758,"What made yougo for a mug like me?","You Only Live Once"
"224",976383,979422,"When I fell in love at the dance,I didn't know you were a mug.","You Only Live Once"
"225",979630,982837,"I told you I was a phoneyand a bad guy to get stuck on.","You Only Live Once"
"226",983795,988750,"I didn't believe you until you askedStephen to defend you for robbery.","You Only Live Once"
"227",989417,993456,"I'll never forget how you slappedmy face and ran out crying.","You Only Live Once"
"228",994498,997746,"I hated you so much, I criedfor 3 days and 3 nights.","You Only Live Once"
"229",1002494,1005493,"Why did you come to the prisonto see me?","You Only Live Once"
"230",1008199,1010241,"To tell you how muchI hated you.","You Only Live Once"
"231",1011614,1016113,"Only I got mixed up and told youhow much I loved you.","You Only Live Once"
"232",1018819,1021485,"Are you still mixed up?","You Only Live Once"
"233",1025108,1026524,"What do you think?","You Only Live Once"
"234",1029938,1031937,"You're one in a million.","You Only Live Once"
"235",1070708,1074581,"- Careful, Ethan, he may be dangerous.- I ain't afraid of that.","You Only Live Once"
"236",1074748,1078204,"When I'm around, I'm...I'm around.","You Only Live Once"
"237",1080080,1083410,"No jailbird is going to spendthe night in Valley Tavern.","You Only Live Once"
"238",1086326,1090907,"- Well, if you're gonna do it, do it.- Hold your shirt on, I'll do it.","You Only Live Once"
"239",1098444,1099901,"We better wait until morning.","You Only Live Once"
"240",1107773,1108814,"Yes?","You Only Live Once"
"241",1110897,1112770,"Well, Mr. Taylor...","You Only Live Once"
"242",1114518,1117684,"my wife wants to tell you something.Go ahead, Esther.","You Only Live Once"
"243",1117893,1119516,"Tell him yourself.","You Only Live Once"
"244",1120974,1122640,"Well, Mr. Taylor...","You Only Live Once"
"245",1124263,1128345,"you see, this roomwas reserved...","You Only Live Once"
"246",1128470,1130677,"some folks from Battleboro.","You Only Live Once"
"247",1130969,1133384,"Convicts and their wivesain't welcome in this tavern.","You Only Live Once"
"248",1133842,1137049,"So we're asking you, in a nice way,to leave at once.","You Only Live Once"
"249",1143462,1144670,"Okay.","You Only Live Once"
"250",1148209,1150250,"- Good night.- Good night.","You Only Live Once"
"251",1155040,1156664,"Did you hear what they said?","You Only Live Once"
"252",1156914,1160119,"Darling, you promised you wouldn'tlet things like this bother you.","You Only Live Once"
"253",1160287,1161953,"I'm thinking of you.","You Only Live Once"
"254",1162994,1165200,"I told you somethinglike this would happen.","You Only Live Once"
"255",1165743,1170198,"What do we care about these people?What do we care about anybody...?","You Only Live Once"
"256",1175029,1176238,"Yes?","You Only Live Once"
"257",1176904,1179942,"Yes, we're leavingjust as soon as we're packed.","You Only Live Once"
"258",1182817,1186732,"And to think I spent 3 long yearslooking for this place.","You Only Live Once"
"259",1200892,1203431,"- Has 37 reported in yet?- No.","You Only Live Once"
"260",1203598,1208429,"How can I keep up a schedule if youcan't keep track of the drivers?","You Only Live Once"
"261",1208554,1211802,"Don't pick on me for that jailbirdbeing late. I didn't hire him.","You Only Live Once"
"262",1211968,1215009,"Never mind that.Check the gas station. Get him.","You Only Live Once"
"263",1225588,1227043,"I think it's the swellest placeI've ever seen.","You Only Live Once"
"264",1227170,1228043,"It's a dump.","You Only Live Once"
"265",1228210,1230125,"It's not. It's terrific.","You Only Live Once"
"266",1230292,1233748,"Anyway, no one can throw us outat four o'clock in the morning.","You Only Live Once"
"267",1235956,1238288,"You've come a long way,I knew you would.","You Only Live Once"
"268",1238414,1239579,"You're the only one who did.","You Only Live Once"
"269",1239704,1243035,"What about Stephen, the peopleyou work for, and Father Dolan?","You Only Live Once"
"270",1243119,1245576,"They don't count, what they didwas because of you.","You Only Live Once"
"271",1245742,1248782,"Ajax gave me a job becauseof Whitney. Father Dolan...","You Only Live Once"
"272",1249574,1251282,"He's for everybody.","You Only Live Once"
"273",1251948,1254280,"Let's be practical,what about it?","You Only Live Once"
"274",1254404,1255697,"It's a big responsibility.","You Only Live Once"
"275",1255863,1258361,"I'm not going to bea truck driver all my life.","You Only Live Once"
"276",1258569,1261317,"Besides, this home owner racketlets you pay off for nothing a week.","You Only Live Once"
"277",1266690,1268481,"In 20 years, it's yours.","You Only Live Once"
"278",1269564,1270771,"Look.","You Only Live Once"
"279",1272979,1275601,"Here's a receipt forthe deposit I made.","You Only Live Once"
"280",1276935,1279392,"Do I give them the restor don't I?","You Only Live Once"
