"id","startTime","endTime","text","title"
"1",83331,85206,"15...","You Were Never Really Here"
"2",85218,87207,"14...","You Were Never Really Here"
"3",87218,88353,"13...","You Were Never Really Here"
"4",88364,91313,"- 12...- Stand up straight.","You Were Never Really Here"
"5",91323,93188,"- 11.- Stand up straight.","You Were Never Really Here"
"6",93198,94323,"- Ten.- Stand up.","You Were Never Really Here"
"7",94334,97221,"- Nine.- Only fucking pussy little girls slouch.","You Were Never Really Here"
"8",97230,99325,"- Seven.- 43...","You Were Never Really Here"
"9",99335,101210,"- Six...- 42...","You Were Never Really Here"
"10",101222,102367,"- Five...- 41...","You Were Never Really Here"
"11",103128,104264,"- Four...- 40...","You Were Never Really Here"
"12",104275,106243,"- Three...- 39...","You Were Never Really Here"
"13",106253,108171,"- Two...- 38...","You Were Never Really Here"
"14",108182,109307,"- One.- 37.","You Were Never Really Here"
"15",109317,112129,"You must do better.You must do better!","You Were Never Really Here"
"16",124280,125516,"Say it.","You Were Never Really Here"
"17",125989,128349,"I must do better, sir.","You Were Never Really Here"
"18",128413,130073,"Ah!","You Were Never Really Here"
"19",131831,133550,"Ah!","You Were Never Really Here"
"20",135134,136375,"Ah!","You Were Never Really Here"
"21",140031,143998,"The tomatoes go in the refrigeratorand the bananas go in the fruit bowl.","You Were Never Really Here"
"22",144009,148389,"I do some of the grocery shopping,and always do the tomatoes first.","You Were Never Really Here"
"23",148425,150865,"We don't ask for information.","You Were Never Really Here"
"24",150936,153028,"You say that's it?That's the only problem.","You Were Never Really Here"
"25",153038,156998,"People will do that, the tomato crop,tomato prices will be part of the deal.","You Were Never Really Here"
"26",157009,159987,"Well, I thought that they'll havea much better product, yeah.","You Were Never Really Here"
"27",159998,165038,"But this lot will grow in the back yard,pick 'em whenever you want.","You Were Never Really Here"
"28",168008,170966,"If you want to eat tomatoes12 months out of the year,","You Were Never Really Here"
"29",170975,173924,"you're gonna have to pick 'emat one of these two stations.","You Were Never Really Here"
"30",230108,232139,"What the hell's wrong with you?","You Were Never Really Here"
"31",352067,354024,"Airport.","You Were Never Really Here"
