"id","startTime","endTime","text","title"
"1",122731,125067,"He stole the chip, he's inside.","xXx"
"2",127069,128070,"l see him.","xXx"
"3",151473,152807,"Kirill!","xXx"
"4",154519,155561,"Time to work.","xXx"
"5",231733,235236,"NSA Remote lntelligence FacilityMt. Weather, Virginia","xXx"
"6",255134,261100,"At 0030 hours, the missiondeviated from the set parameters.","xXx"
"7",261225,265103,"lt wasn't part of the planfor our agent to get shot in the back.","xXx"
"8",270319,271819,"Identity confirmed.","xXx"
"9",272153,275574,"McGrath was uploading some datato us when he was killed.","xXx"
"10",275699,278870,"Take a look at this.l'm not sure yet exactly what it is.","xXx"
"11",281874,285670,"-A fragment of a complex molecule.-Gibbons.","xXx"
"12",285879,289132,"We think it's a linkto a Soviet bio-weapon...","xXx"
"13",289257,290841,"...called Silent Night.","xXx"
"14",291175,294262,"-James, what the hell is he doing here?-l called him in.","xXx"
"15",294387,297307,"We've lost three agents already.You could use the help.","xXx"
"16",297433,300728,"l found out your agents were killed bythis group, Anarchy 99.","xXx"
"17",300853,305274,"They're ex-military. They can smellthe training on our agents a mile away.","xXx"
"18",305526,309529,"Sir, l think it's time we triedsomething new.","xXx"
"19",318374,321293,"These guys aren't ours.Who are they? ClA?","xXx"
"20",321545,325716,"No, civilians. Convicts, mercs,contract killers.","xXx"
"21",325882,328218,"The best and brightestof the bottom of the barrel.","xXx"
"22",328343,332723,"-They're the scum of the earth.-Programmable, expendable, effective.","xXx"
"23",333600,335685,"l think it's our best shot.","xXx"
"24",335853,338898,"Do we want to drop anothermouse in the snake pit?","xXx"
"25",339189,342610,"Or send our own snakeand let him crawl in?","xXx"
"26",346365,349617,"Sacramento, California","xXx"
"27",353415,356209,"Come on, Pepe. This is unbelievable.","xXx"
"28",356793,358461,"Hello!","xXx"
"29",358754,361382,"Well, it's about time. Now, listen....","xXx"
"30",361632,364718,"Were you coming from Tijuana?l don't mean to be rude.","xXx"
"31",364886,367721,"Keep it out of the sun.l don't want the paint to fade.","xXx"
"32",367889,371394,"Do you understand English?l pay enough for you people.","xXx"
"33",375649,378901,"Come on, Janelle.You're gonna love this place.","xXx"
"34",379737,382447,"-Dick, how are you?-This is Janelle.","xXx"
"35",391792,393418,"-Call 91 1 .-Who's driving my car?","xXx"
"36",399343,402303,"Senator Hotchkiss!California state Senate!","xXx"
"37",402471,404764,"Listen, somebody just stole my car!","xXx"
"38",430295,433173,"You, in the red Corvette!Pull over immediately!","xXx"
"39",433339,437802,"Yeah, yeah. These monkeys arefollowing me because l took this car.","xXx"
"40",438178,440889,"Obviously the car doesn't belong to me,it's not my style.","xXx"
"41",441182,446355,"lt belongs to Dick, Dick Hotchkiss,a California state senator.","xXx"
"42",446521,449524,"You remember Dick.He tried to ban rap music...","xXx"
"43",449733,452778,"...because he feels the lyricspromote violence.","xXx"
"44",452904,454365,"lt's music, Dick!","xXx"
