title,image,distributor,release_date,genre,duration,rating,budget,gross_domestic,gross_foreign,gross_worldwide,director,cast,sub_genres
Black Panther,"https://ia.media-imdb.com/images/M/MV5BMTg1MTY2MjYzNV5BMl5BanBnXkFtZTgwMTc4NTMwNDI@._V1_UY222_CR0,0,150,222_AL.jpg", Buena Vista," February 16, 2018", Action / Adventure, 2 hrs. 20 min., PG-13, N/A,,,,Ryan Coogler,"Chadwick Boseman, Lupita Nyong'o, Michael B. Jordan, Angela Bassett, Martin Freeman, Forest Whitaker, Andy Serkis","3D, Comic Book Adaptation, IMAX (Feature-length), Superhero, Superhero - Origin"
Star Wars: The Last Jedi,"https://ia.media-imdb.com/images/M/MV5BMjQ1MzcxNjg4N15BMl5BanBnXkFtZTgwNzgwMjY4MzI@._V1_UY222_CR0,0,150,222_AL.jpg", Buena Vista," December 15, 2017", Sci-Fi Fantasy, 2 hrs. 31 min., PG-13, N/A,,,,Rian Johnson,Rian Johnson,"3D, Action Heroine, IMAX (Feature-length), Sci-Fi - Adventure"
Rogue One,"https://ia.media-imdb.com/images/M/MV5BMjEwMzMxODIzOV5BMl5BanBnXkFtZTgwNzg3OTAzMDI@._V1_UY222_CR0,0,150,222_AL.jpg", Buena Vista," December 16, 2016", Sci-Fi Adventure, 2 hrs. 13 min., PG-13, $200 million,"$532,177,324",,,Gareth Edwards,"Chris Weitz, Tony Gilroy","3D, Action Heroine, IMAX (Feature-length), Prequel, Sci-Fi - Adventure"
Star Wars: The Force Awakens,"https://ia.media-imdb.com/images/M/MV5BOTAzODEzNDAzMl5BMl5BanBnXkFtZTgwMDU1MTgzNzE@._V1_UY222_CR0,0,150,222_AL.jpg", Buena Vista," December 18, 2015", Sci-Fi Fantasy, 2 hrs. 16 min., PG-13, $245 million,"$936,662,225",,,J.J. Abrams,"J.J. Abrams, Michael Arndt, Lawrence Kasdan","3D, Action Heroine, IMAX (Feature-length), Sci-Fi - Adventure"
American Sniper,"https://ia.media-imdb.com/images/M/MV5BMTkxNzI3ODI4Nl5BMl5BanBnXkFtZTgwMjkwMjY4MjE@._V1_UY222_CR0,0,150,222_AL.jpg", Warner Bros.," December 25, 2014", Drama, 2 hrs. 12 min., R, $58.8 million,"$350,126,372",,,Clint Eastwood,Jason Dean Hall,"IMAX (Feature-length), Travelogue - Middle East"
Catching Fire,"https://ia.media-imdb.com/images/M/MV5BMTAyMjQ3OTAxMzNeQTJeQWpwZ15BbWU4MDU0NzA1MzAx._V1_UY222_CR0,0,150,222_AL.jpg", Lionsgate," November 22, 2013", Action / Adventure, 2 hrs. 26 min., PG-13, $130 million,"$424,668,047",,,Francis Lawrence,"Michael Arndt, Simon Beaufoy","Action Heroine, IMAX (Feature-length), Post-Apocalypse, Sci-Fi - Based on Book, Young-Adult Book Adaptations"
The Avengers,"https://ia.media-imdb.com/images/M/MV5BMTk2NTI1MTU4N15BMl5BanBnXkFtZTcwODg0OTY0Nw@@._V1_UY222_CR0,0,150,222_AL.jpg", Buena Vista," May 4, 2012", Action / Adventure, 2 hrs. 22 min., PG-13, $220 million,"$623,357,910",,,Joss Whedon,"Zak Penn, Joss Whedon","3D, Comic Book Adaptation, IMAX (Feature-length), Sci-Fi - Alien Invasion, Superhero"
Harry Potter / Deathly Hallows (P2),"https://ia.media-imdb.com/images/M/MV5BMjIyZGU4YzUtNDkzYi00ZDRhLTljYzctYTMxMDQ4M2E0Y2YxXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_UY222_CR0,0,150,222_AL.jpg", Warner Bros.," July 15, 2011", Fantasy, 2 hrs. 10 min., PG-13, N/A,"$381,011,219",,,David Yates,Steve Kloves,"3D, Dragon - Supporting Role, Family - Children's Book Adaptation, Fantasy - Live Action, IMAX (Feature-length), Young-Adult Book Adaptations"
Toy Story 3,"https://ia.media-imdb.com/images/M/MV5BMTgxOTY4Mjc0MF5BMl5BanBnXkFtZTcwNTA4MDQyMw@@._V1_UY222_CR0,0,150,222_AL.jpg", Buena Vista," June 18, 2010", Animation, 1 hrs. 43 min., G, $200 million,"$415,004,880",,,Lee Unkrich,"Michael Arndt, John Lasseter, Andrew Stanton, Lee Unkrich","3D, Animation, Animation - Computer, IMAX (Feature-length), Toys Come to Life"
Avatar,"https://ia.media-imdb.com/images/M/MV5BMTYwOTEwNjAzMl5BMl5BanBnXkFtZTcwODc5MTUwMw@@._V1_UY222_CR0,0,150,222_AL.jpg", Fox," December 18, 2009", Sci-Fi Adventure, 2 hrs. 40 min., PG-13, $237 million,"$749,766,139",,,James Cameron,James Cameron,"3D, CGI Star, Disability - Paraplegic / Quadriplegic, Environmentalist, IMAX (Feature-length), Sci-Fi - Adventure"
